ENSG00000173120.14|KDM2A
ENSG00000279716.1|AC006128.2
ENSG00000128191.14|DGCR8
ENSG00000135473.14|PAN2
ENSG00000166689.15|PLEKHA7
ENSG00000044446.11|PHKA2
ENSG00000100296.13|THOC5
ENSG00000117385.15|P3H1
ENSG00000143515.16|ATP8B2
ENSG00000188693.7|CYP51A1-AS1
ENSG00000198276.14|UCKL1
ENSG00000163126.14|ANKRD23
ENSG00000157856.10|DRC1
ENSG00000140577.15|CRTC3
ENSG00000198909.7|MAP3K3
ENSG00000167967.15|E4F1
ENSG00000163516.13|ANKZF1
ENSG00000011143.16|MKS1
ENSG00000160588.9|MPZL3
ENSG00000168071.21|CCDC88B
ENSG00000087269.15|NOP14
ENSG00000267244.5|CTB-31O20.4
ENSG00000167962.13|ZNF598
ENSG00000175164.13|ABO
ENSG00000175727.13|MLXIP
ENSG00000182325.10|FBXL6
ENSG00000197530.12|MIB2
ENSG00000155066.15|PROM2
ENSG00000145020.15|AMT
ENSG00000139625.12|MAP3K12
ENSG00000113119.12|TMCO6
ENSG00000007372.20|PAX6
ENSG00000197114.11|ZGPAT
ENSG00000168487.17|BMP1
ENSG00000115207.13|GTF3C2
ENSG00000197265.8|GTF2E2
ENSG00000231711.2|LINC00899
ENSG00000128310.2|GALR3
ENSG00000179335.18|CLK3
ENSG00000273066.5|RP11-216L13.19
ENSG00000269540.1|CTD-2126E3.5
ENSG00000136449.13|MYCBPAP
ENSG00000185920.15|PTCH1
ENSG00000112855.14|HARS2
ENSG00000224939.1|LINC00184
ENSG00000058600.15|POLR3E
ENSG00000115425.13|PECR
ENSG00000270012.1|LL0XNC01-7P3.1
ENSG00000107281.9|NPDC1
ENSG00000144589.20|STK11IP
ENSG00000074755.14|ZZEF1
ENSG00000280073.1|CTD-2525P14.5
ENSG00000174292.12|TNK1
ENSG00000140326.12|CDAN1
ENSG00000149380.11|P4HA3
ENSG00000172803.17|SNX32
ENSG00000124449.6|IRGC
ENSG00000100813.14|ACIN1
ENSG00000164877.18|MICALL2
ENSG00000158887.15|MPZ
ENSG00000171790.15|SLFNL1
ENSG00000130703.15|OSBPL2
ENSG00000122729.18|ACO1
ENSG00000109065.11|NAT9
ENSG00000078900.14|TP73
ENSG00000109743.10|BST1
ENSG00000068400.13|GRIPAP1
ENSG00000157429.15|ZNF19
ENSG00000115282.19|TTC31
ENSG00000135912.10|TTLL4
ENSG00000198198.14|SZT2
ENSG00000104365.13|IKBKB
ENSG00000157353.16|FUK
ENSG00000143224.17|PPOX
ENSG00000167978.16|SRRM2
ENSG00000214655.10|ZSWIM8
ENSG00000102967.11|DHODH
ENSG00000110811.19|P3H3
ENSG00000155760.2|FZD7
ENSG00000107815.7|C10orf2
ENSG00000139725.7|RHOF
ENSG00000127804.12|METTL16
ENSG00000064309.14|CDON
ENSG00000134489.6|HRH4
ENSG00000168411.13|RFWD3
ENSG00000065154.11|OAT
ENSG00000281207.1|SLFNL1-AS1
ENSG00000123992.18|DNPEP
ENSG00000108846.15|ABCC3
ENSG00000100099.20|HPS4
ENSG00000216901.1|ZNF603P
ENSG00000070061.14|IKBKAP
ENSG00000142528.15|ZNF473
ENSG00000273618.1|RP11-66N24.7
ENSG00000232022.7|FAAHP1
ENSG00000138794.9|CASP6
ENSG00000261428.2|RP11-16P6.1
ENSG00000229743.2|LINC01159
ENSG00000171953.15|ATPAF2
ENSG00000157653.11|C9orf43
ENSG00000268006.1|PTOV1-AS1
ENSG00000124713.5|GNMT
ENSG00000166164.15|BRD7
ENSG00000157379.13|DHRS1
ENSG00000162300.11|ZFPL1
ENSG00000185100.10|ADSSL1
ENSG00000173040.12|EVC2
ENSG00000099256.18|PRTFDC1
ENSG00000259867.5|RP11-525K10.3
ENSG00000226314.7|ZNF192P1
ENSG00000108187.15|PBLD
ENSG00000101391.20|CDK5RAP1
ENSG00000138193.15|PLCE1
ENSG00000184459.8|BPIFC
ENSG00000123427.16|METTL21B
ENSG00000143740.14|SNAP47
ENSG00000162813.17|BPNT1
ENSG00000189127.7|ANKRD34B
ENSG00000250673.2|RP11-6L6.2
ENSG00000105726.16|ATP13A1
ENSG00000114805.16|PLCH1
