ENSG00000070729.13|CNGB1
ENSG00000102901.12|CENPT
ENSG00000236922.9|LINC01378
ENSG00000249550.6|LINC01234
ENSG00000079101.16|CLUL1
ENSG00000233251.7|AC007743.1
ENSG00000259234.5|ANKRD34C-AS1
ENSG00000275830.1|RP11-403A3.3
ENSG00000269976.1|RP11-130L8.2
ENSG00000253320.5|AZIN1-AS1
ENSG00000221955.10|SLC12A8
ENSG00000277007.1|RP11-392O17.2
ENSG00000117748.9|RPA2
ENSG00000101076.16|HNF4A
ENSG00000171241.8|SHCBP1
ENSG00000141644.17|MBD1
ENSG00000283503.1|RP11-636O21.2
ENSG00000261572.1|RP11-384L8.1
ENSG00000122375.11|OPN4
ENSG00000227165.7|WDR11-AS1
ENSG00000267421.6|AC005498.3
ENSG00000006744.18|ELAC2
ENSG00000254187.1|CTB-78F1.1
ENSG00000272701.2|MESTIT1
ENSG00000271344.1|RP11-274B21.9
ENSG00000232876.1|CTA-212D2.2
ENSG00000165633.12|VSTM4
ENSG00000156345.17|CDK20
ENSG00000125046.14|SSUH2
ENSG00000166685.11|COG1
ENSG00000171772.15|SYCE1
ENSG00000259943.1|RP1-39G22.7
ENSG00000107593.16|PKD2L1
ENSG00000267623.3|AC022153.1
ENSG00000162878.12|PKDCC
ENSG00000230487.7|PSMG3-AS1
ENSG00000225868.7|AC016582.2
ENSG00000253661.1|ZFHX4-AS1
ENSG00000189223.14|PAX8-AS1
ENSG00000167186.10|COQ7
ENSG00000273492.5|AP000230.1
ENSG00000276116.2|FUT8-AS1
ENSG00000006757.11|PNPLA4
ENSG00000152056.16|AP1S3
ENSG00000176731.11|C8orf59
ENSG00000228358.5|AC113617.1
ENSG00000273456.1|RP11-686O6.2
ENSG00000248161.5|RP11-499E18.1
ENSG00000228203.6|RNF144A-AS1
ENSG00000255087.2|RP11-168K9.2
ENSG00000127952.16|STYXL1
ENSG00000170231.15|FABP6
ENSG00000122696.13|SLC25A51
ENSG00000151498.11|ACAD8
ENSG00000188243.12|COMMD6
ENSG00000267355.2|RPL9P29
ENSG00000234111.6|RP11-364P22.1
ENSG00000184208.10|C22orf46
ENSG00000251141.5|RP11-53O19.1
ENSG00000198865.9|CCDC152
ENSG00000230387.2|RP4-737E23.2
ENSG00000125633.10|CCDC93
ENSG00000083807.9|SLC27A5
ENSG00000168124.2|OR1F1
ENSG00000279667.1|RP11-656D10.7
ENSG00000228408.6|RP1-111D6.3
ENSG00000259964.6|THSD4-AS1
ENSG00000119977.20|TCTN3
ENSG00000250565.6|ATP6V1E2
ENSG00000235652.7|RP11-545I5.3
ENSG00000264920.1|RP11-6N17.4
ENSG00000108384.14|RAD51C
ENSG00000263667.1|RP3-416J7.4
ENSG00000048545.13|GUCA1A
ENSG00000246067.7|RAB30-AS1
ENSG00000248309.6|MEF2C-AS1
ENSG00000229589.1|ACVR2B-AS1
ENSG00000143340.6|FAM163A
ENSG00000007001.12|UPP2
ENSG00000232098.3|CTD-2619J13.14
ENSG00000087263.16|OGFOD1
ENSG00000223745.7|CCDC18-AS1
ENSG00000101255.10|TRIB3
ENSG00000172403.10|SYNPO2
ENSG00000273203.1|AC006946.16
ENSG00000238243.3|OR2W3
ENSG00000102796.10|DHRS12
ENSG00000215256.3|DHRS4-AS1
ENSG00000279369.1|RP11-51F16.1
ENSG00000255129.5|RP11-839D17.3
ENSG00000156239.11|N6AMT1
ENSG00000203497.2|PDCD4-AS1
ENSG00000164038.14|SLC9B2
ENSG00000025434.18|NR1H3
ENSG00000166105.15|GLB1L3
ENSG00000267575.6|CTC-459F4.3
ENSG00000274322.1|RP11-314N13.10
ENSG00000131831.17|RAI2
ENSG00000158571.10|PFKFB1
ENSG00000213411.2|RBM22P2
ENSG00000225383.7|SFTA1P
ENSG00000231365.5|RP11-418J17.1
ENSG00000267390.1|RP11-635N19.1
ENSG00000019186.9|CYP24A1
ENSG00000131650.13|KREMEN2
ENSG00000226476.3|RP11-776H12.1
ENSG00000205181.5|LINC00654
ENSG00000232453.6|RP4-794H19.1
ENSG00000080823.21|MOK
ENSG00000280057.1|RP1-168L15.6
ENSG00000125741.4|OPA3
ENSG00000169064.12|ZBBX
ENSG00000184385.2|UMODL1-AS1
ENSG00000162913.9|C1orf145
ENSG00000241720.2|RP4-735C1.4
ENSG00000113296.14|THBS4
ENSG00000233006.6|AC034220.3
ENSG00000271551.2|RP11-230C9.2
ENSG00000255980.1|AP000439.1
ENSG00000101363.12|MANBAL
ENSG00000283646.1|RP11-24F11.5
ENSG00000163975.11|MELTF
ENSG00000141562.17|NARF
ENSG00000228889.6|UBAC2-AS1
ENSG00000228999.2|AC068490.1
ENSG00000243710.7|CFAP57
ENSG00000230417.11|LINC00856
ENSG00000126259.19|KIRREL2
ENSG00000185015.7|CA13
ENSG00000112619.7|PRPH2
ENSG00000152926.14|ZNF117
ENSG00000178026.12|LRRC75B
ENSG00000231249.1|ITPR1-AS1
ENSG00000225649.5|AC064875.2
ENSG00000123500.9|COL10A1
ENSG00000181908.5|AP003774.4
ENSG00000260077.1|RP11-254F7.2
ENSG00000237298.9|TTN-AS1
ENSG00000245556.2|SCAMP1-AS1
ENSG00000175611.11|LINC00476
ENSG00000179598.5|PLD6
ENSG00000271755.1|RP1-153G14.4
ENSG00000247134.6|RP11-11N9.4
ENSG00000145721.11|LIX1
ENSG00000257261.5|RP11-96H19.1
ENSG00000145088.8|EAF2
ENSG00000204653.9|ASPDH
ENSG00000272808.3|RP11-66B24.7
ENSG00000124602.9|UNC5CL
ENSG00000246100.3|LINC00900
ENSG00000106648.13|GALNTL5
ENSG00000095932.6|SMIM24
ENSG00000237248.4|LINC00987
ENSG00000247982.6|LINC00926
ENSG00000148488.15|ST8SIA6
ENSG00000158106.13|RHPN1
ENSG00000189181.4|OR14I1
ENSG00000204241.7|RP11-713P17.3
