"V1","V2"
"ENSG00000003989","SLC7A2"
"ENSG00000004468","CD38"
"ENSG00000006625","GGCT"
"ENSG00000006744","ELAC2"
"ENSG00000007001","UPP2"
"ENSG00000011198","ABHD5"
"ENSG00000013563","DNASE1L1"
"ENSG00000022556","NLRP2"
"ENSG00000034239","EFCAB1"
"ENSG00000035115","SH3YL1"
"ENSG00000048545","GUCA1A"
"ENSG00000054179","ENTPD2"
"ENSG00000058056","USP13"
"ENSG00000064012","CASP8"
"ENSG00000068976","PYGM"
"ENSG00000070371","CLTCL1"
"ENSG00000071082","RPL31"
"ENSG00000073350","LLGL2"
"ENSG00000073598","FNDC8"
"ENSG00000073754","CD5L"
"ENSG00000074800","ENO1"
"ENSG00000075089","ACTR6"
"ENSG00000075303","SLC25A40"
"ENSG00000076242","MLH1"
"ENSG00000077238","IL4R"
"ENSG00000077943","ITGA8"
"ENSG00000079101","CLUL1"
"ENSG00000079215","SLC1A3"
"ENSG00000081870","HSPB11"
"ENSG00000083807","SLC27A5"
"ENSG00000083857","FAT1"
"ENSG00000087494","PTHLH"
"ENSG00000090932","DLL3"
"ENSG00000092758","COL9A3"
"ENSG00000095932","C19orf77"
"ENSG00000100316","RPL3"
"ENSG00000101255","TRIB3"
"ENSG00000101670","LIPG"
"ENSG00000102595","UGGT2"
"ENSG00000102796","DHRS12"
"ENSG00000102901","CENPT"
"ENSG00000102904","TSNAXIP1"
"ENSG00000103319","EEF2K"
"ENSG00000103742","IGDCC4"
"ENSG00000104321","TRPA1"
"ENSG00000104447","TRPS1"
"ENSG00000104808","DHDH"
"ENSG00000104872","PIH1D1"
"ENSG00000105928","DFNA5"
"ENSG00000106565","TMEM176B"
"ENSG00000106571","GLI3"
"ENSG00000106648","GALNTL5"
"ENSG00000107593","PKD2L1"
"ENSG00000107959","PITRM1"
"ENSG00000108107","RPL28"
"ENSG00000108187","PBLD"
"ENSG00000108384","RAD51C"
"ENSG00000108771","DHX58"
"ENSG00000109743","BST1"
"ENSG00000110436","SLC1A2"
"ENSG00000111229","ARPC3"
"ENSG00000111906","HDDC2"
"ENSG00000112218","GPR63"
"ENSG00000112619","PRPH2"
"ENSG00000112981","NME5"
"ENSG00000114021","NIT2"
"ENSG00000114125","RNF7"
"ENSG00000114346","ECT2"
"ENSG00000116117","PARD3B"
"ENSG00000116151","MORN1"
"ENSG00000116962","NID1"
"ENSG00000117748","RPA2"
"ENSG00000118680","MYL12B"
"ENSG00000119927","GPAM"
"ENSG00000119938","PPP1R3C"
"ENSG00000119977","TCTN3"
"ENSG00000119979","FAM45A"
"ENSG00000122691","TWIST1"
"ENSG00000123096","SSPN"
"ENSG00000123496","IL13RA2"
"ENSG00000124570","SERPINB6"
"ENSG00000124839","RAB17"
"ENSG00000125124","BBS2"
"ENSG00000125378","BMP4"
"ENSG00000126259","KIRREL2"
"ENSG00000126878","AIF1L"
"ENSG00000127249","ATP13A4"
"ENSG00000127952","STYXL1"
"ENSG00000129244","ATP1B2"
"ENSG00000130055","GDPD2"
"ENSG00000131795","RBM8A"
"ENSG00000132507","EIF5A"
"ENSG00000134248","HBXIP"
"ENSG00000134376","CRB1"
"ENSG00000134490","C18orf45"
"ENSG00000135821","GLUL"
"ENSG00000136371","MTHFS"
"ENSG00000136982","DSCC1"
"ENSG00000137154","RPS6"
"ENSG00000138430","OLA1"
"ENSG00000138622","HCN4"
"ENSG00000138642","HERC6"
"ENSG00000138685","FGF2"
"ENSG00000138696","BMPR1B"
"ENSG00000139537","CCDC65"
"ENSG00000139971","C14orf37"
"ENSG00000140022","STON2"
"ENSG00000140057","AK7"
"ENSG00000140743","CDR2"
"ENSG00000142156","COL6A1"
"ENSG00000142207","URB1"
"ENSG00000142937","RPS8"
"ENSG00000143514","TP53BP2"
"ENSG00000144713","RPL32"
"ENSG00000145088","EAF2"
"ENSG00000145247","OCIAD2"
"ENSG00000145476","CYP4V2"
"ENSG00000145741","BTF3"
"ENSG00000146001","PCDHB18"
"ENSG00000146151","HMGCLL1"
"ENSG00000148450","MSRB2"
"ENSG00000148482","SLC39A12"
"ENSG00000148690","FRA10AC1"
"ENSG00000149243","KLHL35"
"ENSG00000149485","FADS1"
"ENSG00000150787","PTS"
"ENSG00000151012","SLC7A11"
"ENSG00000151498","ACAD8"
"ENSG00000152049","KCNE4"
"ENSG00000152268","SPON1"
"ENSG00000152760","TCTEX1D1"
"ENSG00000154144","TBRG1"
"ENSG00000154188","ANGPT1"
"ENSG00000154262","ABCA6"
"ENSG00000155760","FZD7"
"ENSG00000156239","N6AMT1"
"ENSG00000156574","NODAL"
"ENSG00000156990","RPUSD3"
"ENSG00000157349","DDX19B"
"ENSG00000157856","CCDC164"
"ENSG00000158022","TRIM63"
"ENSG00000159251","ACTC1"
"ENSG00000160111","CPAMD8"
"ENSG00000160188","RSPH1"
"ENSG00000160818","GPATCH4"
"ENSG00000161249","DMKN"
"ENSG00000161267","BDH1"
"ENSG00000162063","CCNF"
"ENSG00000162390","ACOT11"
"ENSG00000162391","FAM151A"
"ENSG00000162444","RBP7"
"ENSG00000162639","HENMT1"
"ENSG00000162688","AGL"
"ENSG00000162772","ATF3"
"ENSG00000162836","ACP6"
"ENSG00000163297","ANTXR2"
"ENSG00000163814","CDCP1"
"ENSG00000163975","MFI2"
"ENSG00000164038","SLC9B2"
"ENSG00000164188","RANBP3L"
"ENSG00000164323","KIAA1430"
"ENSG00000165092","ALDH1A1"
"ENSG00000165102","HGSNAT"
"ENSG00000165125","TRPV6"
"ENSG00000165478","HEPACAM"
"ENSG00000165637","VDAC2"
"ENSG00000165730","STOX1"
"ENSG00000166292","TMEM100"
"ENSG00000166819","PLIN1"
"ENSG00000167123","CERCAM"
"ENSG00000167601","AXL"
"ENSG00000168461","RAB31"
"ENSG00000168597","C17orf65"
"ENSG00000169224","C1orf150"
"ENSG00000170231","FABP6"
"ENSG00000170262","MRAP"
"ENSG00000170786","SDR16C5"
"ENSG00000171444","MCC"
"ENSG00000171502","COL24A1"
"ENSG00000171530","TBCA"
"ENSG00000171772","SYCE1"
"ENSG00000173915","USMG5"
"ENSG00000174989","FBXW8"
"ENSG00000175164","ABO"
"ENSG00000175390","EIF3F"
"ENSG00000176912","C18orf56"
"ENSG00000177054","ZDHHC13"
"ENSG00000178602","OTOS"
